State,District,Year,Arhar/Tur,,,Banana,,,Castor seed,,,Cotton(lint),,,Cowpea(Lobia),,,Dry chillies,,,Ginger,,,Groundnut,,,Jowar,,,Maize,,,Moong(Green Gram),,,Onion,,,Rice,,,Sesamum,,,Soyabean,,,Sugarcane,,,Turmeric,,,Urad,,,Bajra,,,Small millets,,,Tobacco,,,Coriander,,,Garlic,,,Gram,,,Wheat,,,Cashewnut,,,Ragi,,,Horse-gram,,,Sweet potato,,,Safflower,,,Sunflower,,,Potato,,
,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,,Kharif,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,,2021 - 2022,"8,039.00","3,296.00",0.41,5,171,34.2,15,8,0.53,"59,252.00","1,37,325.00",2.32,11,9,0.82,965,"3,578.00",3.71,8,33,4.13,151,266,1.76,9,6,0.67,"2,333.00","10,510.00",4.5,529,293,0.55,4,64,16,"77,381.00","2,48,238.00",3.21,43,10,0.23,8,14,1.75,4,400,100,8,59,7.38,8,6,0.75,,,,,,,126,382,3.03,1,1,1,,,,,,,,,,,,,,,,19,10,0.53,1,12,12,2,2,1,,,,,,
,,2022 - 2023,"2,711.00","1,252.00",0.46,5,211,42.2,4,3,0.75,"60,282.00","1,87,229.00",3.11,4,3,0.75,426,"1,077.00",2.53,,,,74,158,2.14,21,14,0.67,"1,637.00","8,182.00",5,487,239,0.49,1,11,11,"86,366.00","2,50,720.00",2.9,5,2,0.4,6,10,1.67,3,285,95,1,8,8,22,15,0.68,,,,,,,1,2,2,,,,,,,2,2,1,2,4,2,1,0,0,,,,4,3,0.75,,,,1,1,1,13,24,1.85,,,
,5. Jayashankar,2018 - 2019,10,6,0.6,41,"2,524.00",61.56,,,,"52,864.00","1,54,549.00",2.92,,,,"6,957.00","28,524.00",4.1,,,,4,10,2.5,,,,569,"3,869.00",6.8,105,66,0.63,,,,"27,081.00","98,737.00",3.65,,,,,,,,,,706,"4,590.00",6.5,12,10,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,29,26,0.9,57,"3,369.00",59.11,,,,"52,386.00","1,85,795.00",3.55,,,,"7,680.00","31,012.00",4.04,,,,6,16,2.67,,,,"1,126.00","5,459.00",4.85,185,146,0.79,,,,"33,296.00","1,06,814.00",3.21,,,,,,,,,,594,"4,142.00",6.97,2,2,1,,,,10,17,1.7,,,,,,,,,,,,,,,,,,,7,11,1.57,,,,,,,,,,,,,,,
,,2020 - 2021,156,120,0.77,81,"3,780.00",46.67,,,,"50,028.00","1,37,441.00",2.75,83,57,0.69,"7,466.00","68,811.00",9.22,,,,80,126,1.58,,,,35,165,4.71,152,63,0.41,,,,"40,704.00","1,10,448.00",2.71,39,4,0.1,2,3,1.5,,,,437,"3,407.00",7.8,11,8,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,1.8,,,,,,,1,3,3,,,
,,2021 - 2022,107,82,0.77,52,"1,773.00",34.1,,,,"36,304.00","1,08,698.00",2.99,120,72,0.6,"12,325.00","41,396.00",3.36,,,,14,30,2.14,,,,137,624,4.55,101,78,0.77,,,,"43,300.00","1,27,259.00",2.94,4,1,0.25,5,9,1.8,,,,412,"3,029.00",7.35,20,16,0.8,,,,,,,1,3,3,,,,,,,6,8,1.33,,,,,,,,,,,,,,,,,,,,,,,,
,,2022 - 2023,9,8,0.89,52,"2,194.00",42.19,1,1,1,"40,889.00","1,64,037.00",4.01,81,60,0.74,"6,554.00","27,350.00",4.17,,,,6,14,2.33,11,7,0.64,85,387,4.55,15,13,0.87,,,,"44,401.00","1,44,436.00",3.25,,,,1,2,2,,,,181,"1,361.00",7.52,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,4,6,1.5,,,,,,,,,,,,,,,
,6. Jogulamba,2018 - 2019,"16,336.00","4,835.00",0.3,20,"1,231.00",61.55,"3,043.00","2,337.00",0.77,"59,265.00","1,16,787.00",1.97,,,,"9,290.00","32,264.00",3.47,,,,"6,006.00","13,333.00",2.22,95,88,0.93,"8,151.00","22,048.00",2.7,,,,"3,251.00","42,942.00",13.21,"21,127.00","54,233.00",2.57,,,,,,,"1,959.00","1,56,693.00",79.99,,,,10,8,0.8,322,162,0.5,30,26,0.87,"1,020.00","2,744.00",2.69,,,,,,,,,,,,,,,,,,,23,15,0.65,,,,,,,,,,,,
,,2019 - 2020,"16,164.00","10,465.00",0.65,,,,"2,228.00","2,747.00",1.23,"76,386.00","2,34,280.00",3.07,,,,"7,341.00","40,207.00",5.48,,,,"5,983.00","14,887.00",2.49,342,405,1.18,"7,051.00","34,753.00",4.93,,,,"1,475.00","30,544.00",20.71,"27,604.00","87,891.00",3.18,1,,0,,,,353,"27,021.00",76.55,,,,38,36,0.95,301,452,1.5,190,285,1.5,755,"2,374.00",3.14,,,,,,,,,,,,,,,,2,3,1.5,3,3,1,,,,,,,19,42,2.21,,,
,,2020 - 2021,"15,153.00","9,437.00",0.62,,,,"1,122.00",483,0.43,"89,474.00","2,27,603.00",2.54,33,23,0.7,"9,935.00","32,560.00",3.28,,,,"6,765.00","9,190.00",1.36,187,152,0.81,"1,366.00","3,335.00",2.44,30,13,0.43,"1,404.00","17,068.00",12.16,"32,754.00","93,483.00",2.85,2,0,0,5,8,1.6,504,"45,612.00",90.5,,,,190,142,0.75,299,295,0.99,53,21,0.4,174,221,1.27,,,,,,,,,,,,,,,,,,,44,71,1.61,,,,,,,29,78,2.69,,,
,,2021 - 2022,"11,211.00","5,741.00",0.51,3,102,34,406,211,0.52,"77,408.00","2,02,622.00",2.62,12,10,0.83,"13,969.00","52,454.00",3.76,,,,"4,380.00","9,043.00",2.06,84,56,0.67,"4,110.00","21,561.00",5.25,3,2,0.67,"1,759.00","22,323.00",12.69,"38,920.00","98,893.00",2.54,,,,5,9,1.8,626,"64,492.00",103.02,,,,191,151,0.79,160,225,1.41,36,26,0.72,384,553,1.44,,,,,,,,,,,,,,,,3,5,1.67,41,29,0.71,,,,,,,36,49,1.36,,,
