State,District,Year,Coriander,,,Cowpea(Lobia),,,Dry chillies,,,Garlic,,,Gram,,,Groundnut,,,Jowar,,,Maize,,,Moong(Green Gram),,,Onion,,,Rice,,,Safflower,,,Sesamum,,,Sunflower,,,Tobacco,,,Urad,,,Wheat,,,Bajra,,,Castor seed,,,Arhar/Tur,,,Ginger,,,Soyabean,,,Turmeric,,,Cotton(lint),,,Horse-gram,,,Ragi,,,Sweet potato,,,Small millets,,,Potato,,
,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Telangana,1. Adilabad,2018 - 2019,263,263,1,35,39,1.11,17,104,6.12,10,26,2.6,"25,311.00","47,028.00",1.86,606,"1,508.00",2.49,"3,234.00","4,110.00",1.27,"1,004.00","5,599.00",5.58,3,3,1,74,"2,157.00",29.15,42,143,3.4,8,5,0.63,226,158,0.7,20,39,1.95,75,202,2.69,4,6,1.5,"2,128.00","3,650.00",1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,,,,"1,048.00",689,0.66,"2,203.00","10,191.00",4.63,,,,16,23,1.44,954,"4,361.00",4.57,685,"1,530.00",2.23,"10,698.00","65,493.00",6.12,"1,323.00","1,406.00",1.06,21,492,23.43,"8,484.00","26,818.00",3.16,1,1,1,448,348,0.78,734,998,1.36,358,824,2.3,717,896,1.25,1,2,2,2,2,1,,,,65,48,0.74,,,,1,2,2,2,15,7.5,,,,11,9,0.82,6,10,1.67,2,23,11.5,,,,,,
,,2022 - 2023,,,,667,665,1,"2,187.00","22,137.00",10.12,,,,4,6,1.5,"1,113.00","4,835.00",4.34,381,786,2.06,"11,537.00","74,125.00",6.42,358,304,0.85,,,,"25,261.00","90,258.00",3.57,,,,100,76,0.76,204,380,1.86,495,938,1.89,346,346,1,,,,,,,2,2,1,8,9,1.13,,,,,,,,,,59,205,3.47,,,,,,,19,138,7.26,1,1,1,,,
,3. Jagitial,2018 - 2019,,,,486,968,1.99,,,,,,,125,196,1.57,876,"1,250.00",1.43,98,162,1.65,"8,933.00","40,538.00",4.54,"1,229.00","1,192.00",0.97,349,"10,173.00",29.15,"48,087.00","1,81,769.00",3.78,,,,"6,395.00","2,750.00",0.43,,,,,,,"1,231.00","1,397.00",1.13,,,,"1,620.00",805,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,,,,78,96,1.23,,,,,,,480,735,1.53,220,384,1.75,40,85,2.13,"7,865.00","43,595.00",5.54,403,441,1.09,130,"4,453.00",34.25,"1,02,546.00","3,91,623.00",3.82,,,,"6,644.00","4,717.00",0.71,,,,,,,215,241,1.12,,,,"1,229.00","1,494.00",1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,5,5,1,140,153,1.09,,,,,,,405,674,1.66,250,429,1.72,229,576,2.52,"2,564.00","16,455.00",6.42,809,815,1.01,75,"2,438.00",32.51,"1,20,376.00","5,17,256.00",4.3,,,,"8,031.00","6,112.00",0.76,1,4,4,,,,662,816,1.23,,,,"2,108.00","1,959.00",0.93,,,,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,1,1,1,422,277,0.66,147,749,5.1,1,4,4,308,476,1.55,445,570,1.28,310,817,2.64,"5,728.00","47,926.00",8.37,"1,265.00","1,042.00",0.82,66,"1,547.00",23.44,"74,742.00","2,85,664.00",3.82,,,,"11,616.00","9,316.00",0.8,5,7,1.4,,,,"2,129.00","1,742.00",0.82,115,231,2.01,"1,064.00","1,067.00",1,,,,16,12,0.75,,,,2,4,2,,,,,,,4,3,0.75,,,,,,,,,,4,96,24
,,2022 - 2023,,,,83,75,0.9,140,712,5.09,3,9,3,108,222,2.06,160,299,1.87,56,116,2.07,"9,877.00","69,337.00",7.02,146,162,1.11,64,"1,635.00",25.55,"1,20,927.00","4,37,272.00",3.62,1,1,1,"4,862.00","3,812.00",0.78,1,2,2,,,,100,104,1.04,1,2,2,230,754,3.28,,,,3,4,1.33,,,,,,,,,,2,6,3,3,2,0.67,,,,,,,,,,,,
,4. Jangoan,2018 - 2019,,,,161,181,1.12,,,,,,,219,344,1.57,"1,033.00","1,494.00",1.45,16,26,1.63,"2,109.00","10,973.00",5.2,108,102,0.94,26,758,29.15,"18,949.00","53,038.00",2.8,,,,6,4,0.67,,,,22,115,5.23,30,44,1.47,,,,,,,,,,4,3,0.75,,,,,,,,,,,,,32,20,0.63,,,,20,127,6.35,,,,,,
,,2019 - 2020,1,1,1,15,15,1,4,24,6,,,,113,173,1.53,701,"1,034.00",1.48,83,177,2.13,"4,405.00","34,840.00",7.91,44,42,0.95,24,822,34.25,"46,799.00","1,65,949.00",3.55,,,,6,4,0.67,,,,49,148,3.02,9,16,1.78,,,,,,,,,,9,8,0.89,,,,,,,,,,,,,11,10,0.91,,,,57,894,15.68,,,,,,
,,2020 - 2021,19,20,1.05,128,140,1.09,160,957,5.98,,,,120,203,1.69,"1,257.00","1,706.00",1.36,90,227,2.52,"2,389.00","19,660.00",8.23,135,129,0.96,9,293,32.56,"64,690.00","2,45,369.00",3.79,,,,67,47,0.7,6,17,2.83,197,292,1.48,86,161,1.87,1,3,3,,,,,,,62,33,0.53,1,9,9,,,,,,,,,,9,16,1.78,,,,67,597,8.91,,,,,,
,,2021 - 2022,28,17,0.61,280,184,0.66,256,"1,305.00",5.1,,,,133,71,0.53,"1,113.00","1,467.00",1.32,216,429,1.99,"3,945.00","27,891.00",7.07,292,280,0.96,9,211,23.44,"57,057.00","1,81,898.00",3.19,42,41,0.98,188,146,0.78,99,135,1.36,212,643,3.03,195,253,1.3,20,40,2,,,,4,6,1.5,162,148,0.91,3,28,9.33,4,7,1.75,1,7,7,,,,32,26,0.81,,,,75,889,11.85,1,1,1,,,
,,2022 - 2023,1,1,1,27,24,0.89,96,244,2.54,,,,8,8,1,230,443,1.93,35,72,2.06,"3,741.00","22,027.00",5.89,22,5,0.23,,,,"78,000.00","1,68,558.00",2.16,1,1,1,4,3,0.75,7,13,1.86,299,"1,160.00",3.88,7,11,1.57,1,2,2,,,,3,4,1.33,11,8,0.73,,,,,,,,,,86,267,3.1,8,5,0.63,,,,70,409,5.84,,,,,,
,5. Jayashankar,2018 - 2019,,,,144,162,1.13,6,39,6.5,,,,229,359,1.57,95,202,2.13,2,3,1.5,"1,898.00","13,842.00",7.29,229,162,0.71,21,612,29.14,"11,331.00","37,664.00",3.32,,,,,,,,,,,,,31,21,0.68,,,,,,,,,,3,2,0.67,,,,,,,,,,,,,3,2,0.67,,,,,,,,,,,,
,,2019 - 2020,,,,51,50,0.98,92,542,5.89,,,,72,110,1.53,51,120,2.35,,,,"6,924.00","48,333.00",6.98,664,629,0.95,11,377,34.27,"25,912.00","93,024.00",3.59,,,,26,17,0.65,,,,,,,282,508,1.8,,,,,,,,,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,2,2,1,146,159,1.09,306,"1,827.00",5.97,,,,35,57,1.63,289,690,2.39,2,6,3,"7,382.00","64,821.00",8.78,157,148,0.94,12,390,32.5,"32,288.00","1,23,502.00",3.83,,,,54,37,0.69,14,40,2.86,,,,67,126,1.88,,,,,,,,,,8,6,0.75,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,
,,2021 - 2022,,,,35,23,0.66,17,87,5.12,,,,9,13,1.44,108,245,2.27,4,8,2,"6,695.00","55,649.00",8.31,101,96,0.95,7,164,23.43,"19,781.00","57,128.00",2.89,,,,57,44,0.77,45,61,1.36,3,6,2,90,61,0.68,,,,,,,6,9,1.5,8,6,0.75,,,,,,,6,44,7.33,,,,,,,,,,,,,,,,,,
,,2022 - 2023,,,,36,32,0.89,515,"2,182.00",4.24,,,,12,19,1.58,83,119,1.43,103,212,2.06,"4,464.00","31,494.00",7.06,23,26,1.13,5,128,25.6,"34,104.00","1,05,484.00",3.09,,,,29,22,0.76,,,,,,,16,25,1.56,1,2,2,,,,4,5,1.25,1,1,1,,,,2,3,1.5,,,,13,52,4,,,,16,15,0.94,,,,4,4,1,,,
